Supplier ID,Supplier Name,Contact
S001,Ajay Electronics,98765-43210
S002,Bhavesh Enterprises,87654-32109
S003,Chirag Parts,76543-21098
S004,Divya Technologies,65432-10987
S005,Ekta Solutions,54321-09876
S006,Farhan Electronics,43210-98765
S007,Gopal Enterprises,32109-87654
S008,Hariom Parts,21098-76543
S009,Indra Technologies,10987-65432
S010,Jyoti Solutions,09876-54321
S011,Kiran Electronics,98765-43210
S012,Lalit Enterprises,87654-32109
S013,Mahesh Parts,76543-21098
S014,Nitin Technologies,65432-10987
S015,Om Solutions,54321-09876
